,Package_Type,Duration_Days,Duration_Nights,Starting_Location,Destination_Cities,Destination_Cities_Count,Included_Activities,Hotel_Ratings,Original_Price_INR,Deal_Price_INR,Discount_Percentage
20,Udaipur: More Than The Just âThe City Of Lakesâ,3,2,Udaipur,Udaipur ,1,City  Palace Maharana  Pratap  Memorial Best sellers ,2,7539,6499,14
21,An Amazingly Romantic Honeymoon,7,6,Coorg,"Coorg ,Ooty ,Kodaikanal ",3,Sightseeing Hill station  Arrival Water  Activities Botanical  ,4,26142,23789,9
22,Idyllic Kerala Houseboat & Hills Family Package,7,6,Munnar,"Munnar ,Thekkady ,Alleppey ,Kovalam ",4,Adventure Sightseeing Nature Family Waterfall Wildlife ,3,30249,25460,16
23,Adventurous Family Holiday In Coorg,4,3,Coorg,"Coorg ,Mysore ",2,Sightseeing Nature Waterfalls Adventureart gallery Historical Shopping ,3,15417,14029,9
24,Best   Ooty Honeymoon,4,3,Ooty,Ooty ,1,The  Blue  Mosque Adventure Shopping Nature ,3,16944,15250,10
25,Charming Kashmir Honeymoon,6,5,Srinagar,"Srinagar ,Gulmarg ,Pahalgam ",3,Romantic  Stay Wildlife Unlimited adventure Adventure Houseboat  ,3,26136,23000,12
26,Vibrant Kochi Munnar Honeymoon,4,3,Cochin,"Cochin ,Munnar ",2,Scenic views Adventure Tea gardens Hill station Marine  Drive ,3,16190,14571,10
27,Pleasurable Meghalaya Honeymoon,7,6,Guwahati,"Guwahati ,Shillong ,Cherrapunjee ",3,Nature Temple Waterfalls Hill station Lake Historical ,3,41208,37499,9
28,Lovely Ladakh Family Package,5,4,Leh,"Leh ,Nubra Valley ,Pangong ",3,Hill station Nubra  Valley Nature Chang  La ,2,21504,19999,7
29,Colorful Rajasthan Family Package,9,8,Jaipur,"Jaipur ,Bikaner ,Jaisalmer ,Jodhpur ,Udaipur ",5,Historical places in  Udaipur Nature Boat  Ride Historical ,3,76404,68000,11
30,Best Selling Leh-Ladakh Honeymoon,6,5,Leh,"Leh ,Hunder ",2,Best- Selling Adventure Nature Romantic Camping ,3,35367,27999,21
31,Best     Himachal Family Tour Package,9,8,Shimla,"Shimla ,Manali ,Dharamshala ,Dalhousie ",4,Natural extravaganza Nature Scenic  Routes Adventure Hill station ,2,32143,30000,7
32,"Explore arjeeling And Gangtok, The Gem Of ortheast",7,6,Gangtok,"Gangtok ,Kalimpong ,Darjeeling ",3,Family  Special Hill station Scenic roadtrip Religious Grand  ,2,80136,72122,10
33,Exotic Andaman Honeymoon,6,5,Port Blair,"Port Blair ,Havelock ",2,Light and  Sound  Show Historical Ferry  Transfer ,2,24965,23790,5
34,Enjoy An Island Getaway With Our Andaman Honeymoon,6,5,Port Blair,"Port Blair ,Havelock ,Neil Island ",3,Best sellers Nature Ferry  Transfer Radhanagar  Beach ,3,27472,24420,11
35,Breathtaking Manali Tour Package,4,3,Manali,Manali ,1,Manali Adventure Solang  Valley Nature Rohtang  ,3,12637,11500,9
36,Summer Special Manali Honeymoon,5,4,Manali,Manali ,1,Hill station Best sellers Adventure Nature Sightseeing Romantic ,3,17033,15500,9
37,ivine Andaman Couple Tour Package,6,5,Port Blair,"Port Blair ,Havelock ,Neil Island ",3,Island  Tours Water  Activities Adventure Beaches ,4,29604,26940,9
38,Blissful Leh Ladakh Honeymoon,5,4,Leh,Leh ,1,Bestselling Hill station Mountain  Desert Adventure Road  ,2,20453,17999,12
39,Exotic Gangtok & arjeeling Honeymoon,5,4,Darjeeling,"Darjeeling ,Gangtok ",2,Honeymoon freebies Adventure Himalayas Nature Tea gardens Hill station ,3,52512,45663,13
40,Spiti Tour Package,7,6,Manali,"Manali ,Kaza ,Chandra Tal ",3,Chandratal Nature Dhangkar  Monastery Historical Rohtang  ,3,33889,30500,10
41,Fascinating Uttarakhand Honeymoon,6,5,Mussoorie,"Mussoorie ,Jim Corbett ,Nainital ",3,Kempty  Falls Adventure Gun  Hill Nature ,3,21978,20000,9
42,Blissful Andaman Honeymoon,5,4,Port Blair,"Port Blair ,Havelock ,Neil Island ",3,Romantic Historical Nature Radhanagar  Beach Mud  ,2,18914,17338,8
43,Idyllic Lansdowne Tour Package,2,1,Lansdowne,Lansdowne ,1,Adventure Jungle  Trail Nature Shopping Hill station ,3,4120,3749,9
44,Port Blair Tour Package,3,2,Port Blair,Port Blair ,1,Beaches Adventure Local  Island  Tour Water  ,3,15934,14819,7
45,Best Selling Alleppey-Munnar Kerala Weekend Tour,4,3,Munnar,"Munnar ,Alleppey ",2,Spice  Plantations Hill station Houseboat  Stay Cruises ,3,17132,13020,24
46,Charismatic Kochi Tour Package,4,3,Kochi,"Kochi ,Munnar ",2,Waterfalls Adventure Nature Shopping Wildlife Cultural ,3,16011,14570,9
47,Magical arjeeling & Sikkim Summer Special Honeymoon,6,5,Darjeeling,"Darjeeling ,Gangtok ,Lachung ",3,Honeymoon freebies Nature Himalayas Hill station Adventure Romantic ,3,64004,56167,12
48,A Blissful Romantic Tour To Andaman Island,4,3,Port Blair,Port Blair ,1,Cellular  Jail  Nature North  Bay  Island ,3,17143,15600,9
49,Mystique Andaman Honeymoon,4,3,Port Blair,"Port Blair ,Havelock ",2,Sightseeing Nature Hill station Adventure Water  Activities ,3,21945,19970,9
50,Best Selling Weeklong Goa Tour Package,6,5,Goa,Goa ,1,Waterfalls Nature Spice plantations Adventure Historical  Sites ,3,17608,16199,8
51,Romantic Escapade To Kashmir,6,5,Pahalgam,"Pahalgam ,Srinagar ,Gulmarg ",3,Water  Activities Night at  Houseboat Nature Shikara  ,2,21348,19000,11
52,Extravagant Port Blair Sightseeing Tour Package,4,3,Port Blair,Port Blair ,1,Port  Blair Adventure Nature Cellular  Jail  ,3,13846,12600,9
53,Splendid Kodaikanal Honeymoon,6,5,Ooty,"Ooty ,Kodaikanal ",2,Sightseeing Hill station  Arrival Water  Activities Nilgiri  ,4,23461,21350,9
54,Mesmerizing Leh Ladakh Family Tour Package,5,4,Leh,Leh ,1,Ideal for families Hill station Adventure Picturesque sights Nature Grand  ,2,19779,17999,9
55,Mesmeric Mount Abu Family Package,3,2,Mount Abu,Mount Abu ,1,Sightseeing Hill station Lakes Adventure Temples Nature ,3,4945,4500,9
56,Adventurous Summer Special Ladakh Honeymoon,5,4,Leh,Leh ,1,Mountain  Desert Adventure Nature Road  Trip ,2,22221,19999,10
57,Best   Ooty Tour Package,2,1,Ooty,Ooty ,1,Sightseeing Nature City  Tour Hill station Jungle  ,3,9384,8539,9
58,Srinagar Sonmarg Pahalgam Gulmarg Tour Package,5,4,Srinagar,Srinagar ,1,Lidder  River Nature Gondola  Ride Adventure ,4,28151,26180,7
59,Luxurious Honeymoon,4,3,Manali,Manali ,1,Adventure Nature Hill station Sightseeing Budget,2,9011,8200,9
60,Ecstatic Shimla  ight  ay Tour Package,5,4,Shimla,Shimla ,1,Sightseeing Nature Overnight  Journey Wildlife Horse/ ,3,14205,12500,12
61,Best Selling Ladakh   Package,4,3,Leh,Leh ,1,Shanti  Stupa Hall of  Fame Magnetic  Hilllandscape ,3,20429,18999,7
62,An Adventurous Family Trip To Jim Corbett ational Park,2,1,Jim Corbett,Jim Corbett ,1,Jungle  Safari Adventure Local sightseeing Wildlife Family ,4,7933,7219,9
63,Mesmerizing Getaway To Kochi,2,1,Kochi,Kochi ,1,Scenerylandscape Sightseeing Leisure  Time Nature Adventure ,3,4593,4180,9
64,Best-Ranked Gangtok Tour Package,2,1,Gangtok,Gangtok ,1,Ganesh  Tok Nature Flower  Show Adventureshopping ,3,20619,19176,7
65,Mesmerising Lansdowne Tour Package,3,2,Lansdowne,Lansdowne ,1,Sightseeing Adventure Nature Boating Hill station Religious ,3,17308,15750,9
66,Gangtok Family Package,3,2,Gangtok,Gangtok ,1,Waterfalls Nature Lakes Adventure Sightseeing Family ,2,19163,18013,6
67,Kerala Wayanad Weekend Holiday,3,2,Wayanad,Wayanad ,1,Nature Waterfall Hills Weekend  Getaway Hill station ,3,8253,7840,5
68,A Goa Tour Full of Fun n Frolic,4,3,Goa,Goa ,1,Sightseeing Beach Leisure  Day Adventure Water  ,3,12637,11500,9
69,Charming Kashmir Sightseeing Tour Package,8,7,Srinagar,"Srinagar ,Pahalgam ,Gulmarg ",3,Nature Adventure Hill station Lake Budget,2,30769,28000,9
70,Astonishing Pelling Honeymoon,3,2,Pelling,Pelling ,1,Ideal for couples Adventure Khecheopalri  Lake Religious Rimbi  ,3,12086,11119,8
71,Magical Manali Honeymoon,3,2,Manali,Manali ,1,Hills Adventure Rohtang  Pass Hill station Nature ,2,9808,7500,24
72,Amazing Andaman Tour Package,6,5,Port Blair,"Port Blair ,Havelock Island ,Neil Island ",3,Nature Water  Activities Radhanagar  Beach Cellular  ,3,19216,18163,5
73,Mahabaleshwar Package,2,1,Mahabaleshwar,Mahabaleshwar ,1,Sightseeing Adventure Temples Nature Local market Waterfall ,3,6769,6160,9
74,"Gangtok, Lachung & arjeeling Summer Special Tour: The orth Eastern Bliss ",7,6,Gangtok,"Gangtok ,Lachen ,Lachung ,Darjeeling ",4,Hot  Pick Adventure Pocket-friendly Nature Nature walks ,3,67710,62399,8
75,Trip To Mesmerising Munnar ,4,3,Munnar,"Munnar ,Alleppey ",2,Scenic views Hill station Tea plantations Shopping Nature Waterfall ,3,16011,14570,9
76,Best Selling Kerala Honeymoon,5,4,Munnar,"Munnar ,Thekkady ,Alleppey ",3,Houseboat  Stay Adventure Jeep  Safari Hill station ,3,24920,17920,28
77,Rajasthan Tour Package,3,2,Udaipur,Udaipur ,1,Lake Adventure Temple Historical Scenic  Beauty ,3,12903,12000,7
78,Best     Kodaikanal Tour Exclusive Package,3,2,Kodaikanal,Kodaikanal ,1,Sightseeing Nature Lakeview Adventure Waterfalls Hill station ,3,12736,11590,9
79,"Exhilarating Gangtok, Kalimpong and arjeeling Trip in Summer",6,5,Gangtok,"Gangtok ,Kalimpong ,Darjeeling ",3,Tsomgo  Lake Nature Baba  Mandir Adventure ,2,33362,29692,11
80,Ooty Package,3,2,Ooty,Ooty ,1,Tea  Factory Nature Coonoor Hill station Mysore  ,3,12736,11590,9
81,Marvelous Honeymoon,5,4,Leh,"Leh ,Nubra Valley ,Pangong ",3,Monasteries Temple Nature Camping Hill station Historical ,3,25274,22999,9
82,Exciting Rajasthan Tour Package,2,1,Ranthambore,Ranthambore ,1,Sightseeing Nature Wildlife safari Historical Adventure Tigers ,3,8680,7899,9
83,Check Out Our Top-rated Andaman Itinerary For   For A Soulful Vacay,4,3,Port Blair,"Port Blair ,Havelock ",2,Port  Blair Adventure Cellular  Jail Nature ,3,18462,16800,9
84,Goa Tour Package,4,3,Goa,Goa ,1,Adventure Water  Activities Beach Budget,3,22580,20999,7
85,A Romantic Joyride With The Best Lonavala Honeymoon,3,2,Lonavala,Lonavala ,1,Caves Hill station Hills Nature Lake Romantic ,3,21153,19249,9
86,Best-Selling Rishikesh Uttarakhand Tours For A Refreshing Getaway,2,1,Rishikesh,Rishikesh ,1,Hill station Adventure Nature Water  Activities Trekking ,2,4332,3938,9
87,Fascinating Manali Tour Package,4,3,Manali,Manali ,1,Solang  Valley Nature Rohtang  Pass Water  ,3,10989,10000,9
88,Resounding Rajasthan Family Package,3,2,Jaisalmer,Jaisalmer ,1,Gadisar  Lake Nature Camel  Safari Historical ,3,8240,7498,9
89,Most Popular ortheast Honeymoon,5,4,Shillong,"Shillong ,Mawlynnong ,Guwahati ",3,Ideal for couples Hill station  Picturesque  Lakes Historical Natural  ,2,17777,15999,10
90,Catch The Beauty Of The Setting Sun In Alleppey,2,1,Alleppey,Alleppey ,1,Cruise along the backwaters  Adventure Leisure  Day Cruises Houseboat  ,3,4922,4479,9
91, ight   Romantic Ooty Getaway For An Unforgettable Experience,2,1,Ooty,Ooty ,1,Tea gardens Adventure Doddabetta  Peak Nature Mudumalai  ,3,10054,9149,9
92,Adventure Packed Rishikesh Tour Package,2,1,Rishikesh,Rishikesh ,1,Adventure  Activities Adventure Camping Water  Activities ,3,4395,3999,9
93,Best Selling Ooty Mysore Tour Package,4,3,Ooty,Ooty ,1,Mysore  Palace Group package Tea  Estate Sightseeing ,3,14556,12809,12
94,Lovely orth East Family Package,5,4,Shillong,"Shillong ,Guwahati ",2,Umiam  Lake Cruises  Mawlynnong  Village Religious ,2,18131,16499,9
95,Charming Alleppey Honeymoon,3,2,Alleppey,Alleppey ,1,Alleppey Hill station Beaches Cruises Backwaters Nature ,3,8615,7840,9
96,Best Selling Leh Ladakh     Package,7,6,Srinagar,"Srinagar ,Kargil ,Leh ,Nubra Valley ",4,Nature Himalayas Adventure Road  Trip Sightseeing ,3,42352,39999,6
97,Splendid Jaisalmer Tour Package,3,2,Jaisalmer,Jaisalmer ,1,Sightseeing Historical Adventurelandscape Sand  Dunes Budget,3,8152,7500,8
98,A Blissful Tour In Munnar,3,2,Munnar,Munnar ,1,Sightseeing Hill station Adventure  Activities Adventure Photo  ,3,9844,8958,9
99,"Goa Is All About Sand, Sun, And Sea",3,2,Goa,Goa ,1,Sightseeing Nature Fort  Aguada Adventure Calangute  ,3,7692,7000,9
100,Blissful orth East Honeymoon,6,5,Guwahati,"Guwahati ,Shillong ,Cherrapunjee ,Mawlynnong ",4,Ideal for couples Historical Picturesque landscape Nature Living root bridges Hill station ,2,22282,20499,8
101,Best-Selling Goa Trip Package,4,3,Goa,Goa ,1,Adventure Nature Water  Activities Paraglidingskiing Budget,3,10869,9999,8
102,Glorious Goa Tour Package,3,2,Calangute,Calangute ,1,Calangute  Beach Cruises Fort  Aguada Historical ,3,7608,6999,8
103,Splendid Himachal Honeymoon,4,3,Manali,Manali ,1,Temples Religious Hot  Springs Wildlife Himalayas ,2,9091,8000,12
104,Stimulating Rajasthan Tour Package,4,3,Ranthambore,"Ranthambore ,Pushkar ",2,Ranthambore  National  Park Wildlife Pushkar  Brahma  ,3,9090,7999,12
105,Fantastic Summer Special Trip To Manali,4,3,Manali,Manali ,1,Sightseeing Nature Adventure Hill station Skiing Romantic ,3,13187,12000,9
106,Incredible Kashmir Honeymoon,5,4,Srinagar,"Srinagar ,Pahalgam ,Gulmarg ",3,Ideal for couples Nature Picturesque landscape Best sellers Shikara  Ride ,2,18564,15000,19
107,Astounding Kasol Tour Package,4,3,Kasol,"Kasol ,Kheerganga ",2,Kasol  Trip Adventure Beach Kheerganga top Manikaran  ,3,17778,16000,10
108,Explore The Himalayan Highlands Of Manali With Our Family Package,4,3,Manali,Manali ,1,Himalayas Adventure Sightseeing Hill station Nature Religious ,4,14286,13000,9
109,"Exploring Godâs Own Country, Kerala",3,2,Munnar,"Munnar ,Alleppey ",2,Adventure Sightseeing Nature Hill station Houseboat  Stay ,3,10102,9092,10
110,Magnificent Leh Sightseeing Tour Package,6,5,Leh,"Leh ,Nubra Valley ",2,Shanti  Stupa Adventure Tibetan  Monasteries Nature ,3,26373,23999,9
111,Scintillating Honeymoon,5,4,Leh,"Leh ,Pangong ",2,Shanti  Stupa Pangong  Tso Nature Khardung  ,3,21110,18999,10
112,Reasonable Munnar Thekkady Alleppey Honeymoon,4,3,Munnar,"Munnar ,Thekkady ,Alleppey ",3,Cruises Waterfalls Nature Jungle  Safari Romantic ,3,15909,14000,12
113,Picturesque alhousie Honeymoon,3,2,Dalhousie,Dalhousie ,1,Mini  Switzerland Adventure Khajjiar Nature Chamba ,3,17778,16000,10
114,Most Picked Kullu Manali Rohtang Pass Package,4,3,Manali,Manali ,1,Scenic  Landscapes Nature Adventure Hill station Sightseeing ,3,11957,11000,8
115,Ecstatic Athirapally Tour Package,8,7,Athirapally,"Athirapally ,Munnar ,Alleppey ,Kovalam ,Trivandrum ",5,Athirapally waterfalls Nature Munnar Hill station Alleppey Sightseeing ,3,30904,28123,9
116,Best-Selling Sightseeing Vacation To Gangtok,4,3,Gangtok,Gangtok ,1,Gangtok Adventure City  Tour Nature Local sightseeing ,2,14531,13223,9
117,Best Selling Lansdowne Tour For A Refreshing Getaway In ,2,1,Lansdowne,Lansdowne ,1,Gandhi  Chowk Hill station Shatabdi  Dwar Nature ,3,6416,5774,10
118,o ham Yatra Package,8,7,Haridwar,"Haridwar ,Sitapur ,Badrinath ,Pipalkoti ",4,Sightseeing Trekking Hill station Hot  Springs Religious ,2,14914,13124,12
119,Blissful  Badrinath Tour Package,4,3,Haridwar,"Haridwar ,Badrinath ,Rudraprayag ",3,Sightseeing Nature Hot  Springs Hill station Temples  ,2,10842,9975,8
120,Ooty Package,4,3,Ooty,Ooty ,1,Mudumalai  National  Park Nature Coonoor Hill station ,3,15417,14029,9
121,Gorgeous Goa Tour Package,4,3,Goa,Goa ,1,Adventure Nature Seafood Water  Activities Shopping ,3,10989,10000,9
122,Best     Himachal Honeymoon,8,7,Shimla,"Shimla ,Manali ,Dharamshala ,Dalhousie ",4,Romantic Nature Best sellers Road  Trip Adventure ,2,26914,23550,12
123,Mesmerizing Kerala Holiday: Weekend in Munnar & Thekkady,4,3,Munnar,"Munnar ,Thekkady ",2,Hills Adventure Jungle  Safari Nature Wildlife ,3,18434,13167,29
124,Admire The Enchanting And Spellbinding Places In Sikkim,7,6,Gangtok,"Gangtok ,Lachen ,Lachung ,Darjeeling ",4,Romantic Adventure Offbeat Nature Waterfalls Hill station ,3,69497,63217,9
125,iscover Our Ravishing     Rajasthan Vacation,4,3,Jodhpur,"Jodhpur ,Jaisalmer ",2,Mehrangarh  Fort Nature Camel  Safari Historical ,3,11235,9999,11
126, Soulful arjeeling Gangtok Sikkim Honeymoon,5,4,Gangtok,"Gangtok ,Darjeeling ",2,Leisure  Day Wildlife Do  Drul  Chorten ,2,44285,39414,11
127,arjeeling Family Package,3,2,Darjeeling,Darjeeling ,1,Tea  Estate Adventure Tiger  Hill Nature ,3,10229,9513,7
128,    Paradisiacal Himachal Family Package,4,3,Manali,Manali ,1,Hill station Nature Family Road journey Visit to  Temples and  ,2,9091,8000,12
129,Captivating Thekkady Honeymoon,5,4,Kumarakom,"Kumarakom ,Thekkady ,Munnar ",3,Ideal for  Couples Water  Activities Adventure Houseboat ,3,17360,15624,10
130,A Surreal Escape To Mesmerising estinations,4,3,Munnar,"Munnar ,Alleppey ",2,Romantic Hill station Hills Cruises Waterfalls Adventure ,3,16269,12880,21
131,A Memorable Honeymoon,6,5,Jaipur,"Jaipur ,Pushkar ,Ranthambore ",3,Chokhi  Dhani Adventure Birla  Temple Nature ,4,21976,19998,9
132,Himachal Honeymoon,6,5,Manali,"Manali ,Shimla ",2,Rohtang  Pass Sightseeing Adventure Best sellers Hill station ,2,24307,21000,14
133,Visit Kerala And See Astounding Places,4,3,Munnar,"Munnar ,Thekkady ,Kochi ",3,Natural  Beauty Tea  Garden Spice  Garden ,3,13213,11760,11
134,Goa Package,3,2,Goa,Goa ,1,Dudhsagar  Waterfalls Adventure Jeep  Safari Nature ,3,7692,7000,9
135,Best Selling Himachal Honeymoon,6,5,Shimla,"Shimla ,Manali ",2,Best- Selling Romantic Nature Best sellers Adventure ,2,17500,14000,20
136,Best-Selling Ooty Honeymoon,3,2,Ooty,Ooty ,1,Ideal for  Couples Adventure Sightseeing Nature City  ,3,14076,12809,9
137,Best Selling Kashmir Honeymoon,6,5,Srinagar,"Srinagar ,Pahalgam ,Gulmarg ",3,Night at  Houseboat Best sellers Shankaracharya Romantic Nature ,2,21452,19000,11
138,Best-Selling   Rajasthan Tour Package,7,6,Jaipur,"Jaipur ,Bikaner ,Jaisalmer ,Jodhpur ",4,Hawa  Mahal Nature Adventure Desert  Camp ,3,57142,51999,9
139,Adventure-Loaded Rishikesh Tour Package,2,1,Rishikesh,Rishikesh ,1,Adventure Nature Watersports Water  Activities Himalayas ,3,11667,10500,10
140, ight   Lonavala Package,2,1,Lonavala,Lonavala ,1,Local sightseeing Adventure Caves Nature Historical,4,10879,9900,9
141,Best Selling Kashmir Family Package,5,4,Srinagar,"Srinagar ,Gulmarg ",2,Family Gondola  Ride Hill station Shikara  Ride ,2,16485,15000,9
142,Trip To Captivating Coorg,3,2,Coorg,Coorg ,1,Shopping Adventure Sightseeing Nature Leisure  Time ,2,11395,10369,9
143,Exhilarating Andaman Tour Package,5,4,Port Blair,"Port Blair ,Havelock ",2,Port  Blair Adventure Cellular  Jail Nature ,4,37041,33707,9
144,Best Selling Holiday Tour Package,2,1,Coorg,Coorg ,1,Sightseeing Nature Waterfalls Hill station Camping Adventure ,2,8714,7930,9
145,Exclusive Kerala Munnar Tour Package,3,2,Munnar,Munnar ,1,Weekend  Getaway Wildlife Hills Hill station Tea gardens ,3,12792,7840,39
146,Super Romantic Coorg Honeymoon,5,4,Coorg,"Coorg ,Ooty ",2,Dubare  Reserve  Forest Adventure Waterfalls Nature ,2,16758,15250,9
147,Goa Honeymoon,6,5,Goa,Goa ,1,Nature Adventure Water  Activities Budget,3,34482,29900,13
148,Beachside Romance: Goa Honeymoon,4,3,Calangute,Calangute ,1,Beach  Vacation Cruises Shopping Adventure Nature ,2,32502,27600,15
149,A elightful Trip To elhi,3,2,New Delhi,New Delhi ,1,Red  Fort Historical Akshardham  Temple Sightseeing ,3,7142,6499,9
150,Charismatic     Kashmir Tour Package,4,3,Srinagar,Srinagar ,1,Shikara  Ride Nature Martand  Temple Hill station ,2,11950,10527,12
151,An Utterly Ravishing Rajasthan Tour Package,3,2,Ranthambore,Ranthambore ,1,Wildlife safari Historical Long  Drive National  Park ,3,11757,10699,9
152,Best Selling Meghalaya Tour Package,5,4,Shillong,"Shillong ,Cherrapunjee ,Guwahati ",3,Sightseeing Ayurvedic Hill station Lakes Adventure Waterfalls  ,3,26923,24500,9
153,Mesmerizing Uttarakhand Summer Special Family Package,4,3,Mussoorie,"Mussoorie ,Dhanaulti ",2,Kempty  Falls Adventure Eco  Parks Hill station ,3,39663,36093,9
154,Amazing Auli Honeymoon,3,2,Auli,Auli ,1,Devprayag Adventure Skiing Best sellers Auli lake Nature ,3,10000,9000,10
155,Exciting Athirapally Tour Package,7,6,Cochin,"Cochin ,Munnar ,Thekkady ,Alleppey ",4,Sightseeing Trekking Waterfalls Adventure Eravikulam  National  ,3,27560,25080,9
156,Bestselling Leh Ladakh Tour Package,8,7,Leh,"Leh ,Nubra Valley ,Kargil ,Srinagar ",4,Best- Selling Nature Mountain  Desert Adventure ,3,47999,44999,6
157,Ecstatic Athirapally Honeymoon,7,6,Cochin,"Cochin ,Munnar ,Thekkady ,Alleppey ",4,Cruises Wildlife Hill station Tea  Gardens Nature ,3,33221,29567,11
158,Goa Honeymoon,7,6,Goa,Goa ,1,Dudhsagar waterfalls Water  Activities Anjuna  Beach Adventure ,5,40217,37000,8
159,Spellbinding Cochin Family Tour Package,2,1,Cochin,Cochin ,1,Nature Adventure Unlimited  Funshopping City  Tourmuseums ,3,5091,4480,12
160,Relax And Recharge At Chikmagalur,2,1,Chikmagalur,Chikmagalur ,1,Hills Nature Valleys Adventure Waterfalls Hill station ,2,9379,8722,7
161,Blissful Kerala Honeymoon,7,6,Munnar,"Munnar ,Thekkady ,Alleppey ,Kovalam ",4,Romantic Adventure Houseboat  Stay Wildlife Beach  ,3,28416,23999,16
162,Spritual Char ham Yatra Package,11,10,Haridwar,"Haridwar ,Barkot ,Uttarkashi ,Sitapur ,Badrinath ",5,Sightseeing Trekking Hill station Temples  Tour Religious ,2,38181,33599,12
163,iscover Our Coorg Tour Package,4,3,Coorg,"Coorg ,Mysore ",2,Dubare  Reserve  Forest Nature Abbey  Falls ,3,14233,12810,10
164,iscover Our Exquisite     Mussoorie Honeymoon,6,5,Mussoorie,"Mussoorie ,Jim Corbett ,Nainital ",3,Sightseeing Adventure Road  Trip Nature Kempty  ,3,24444,22000,10
165,alhousie haramshala Himachal Honeymoon,4,3,Dalhousie,"Dalhousie ,Dharamshala ",2,Romantic Nature Hills Hill station Monastery  Tour ,2,23294,18000,23
166,Tirupati Temple: A Sacred Pilgrimage,2,1,Tirupati,Tirupati ,1,Religious  Tour Religious Temples Historical Nature ,2,8847,8051,9
167,Charismatic Kashmir Tour Package,3,2,Srinagar,Srinagar ,1,Dal  Lake Hill station Shikara  Ride Adventure ,3,15000,13500,10
168,Exciting Sikkim Sightseeing Tour Package,5,4,Gangtok,"Gangtok ,Darjeeling ",2,Local sightseeing Nature Leisure  Day Wildlife Gangtok ,2,36116,32866,9
